quarter,value,instName
1,256,Baker County
2,237,Baker County
3,235,Baker County
4,241,Baker County
5,228,Baker County
6,222,Baker County
7,196,Baker County
8,207,Baker County
9,199,Baker County
10,199,Baker County
1,1068,Benton County
2,1116,Benton County
3,1116,Benton County
4,1183,Benton County
5,1191,Benton County
6,1097,Benton County
7,993,Benton County
8,999,Benton County
9,940,Benton County
10,896,Benton County
1,5008,Clackamas County
2,5027,Clackamas County
3,5074,Clackamas County
4,5320,Clackamas County
5,5202,Clackamas County
6,4998,Clackamas County
7,4552,Clackamas County
8,4622,Clackamas County
9,4522,Clackamas County
10,4246,Clackamas County
1,667,Clatsop County
2,673,Clatsop County
3,671,Clatsop County
4,710,Clatsop County
5,676,Clatsop County
6,642,Clatsop County
7,597,Clatsop County
8,611,Clatsop County
9,623,Clatsop County
10,565,Clatsop County
1,939,Columbia County
2,946,Columbia County
3,908,Columbia County
4,930,Columbia County
5,906,Columbia County
6,830,Columbia County
7,751,Columbia County
8,763,Columbia County
9,740,Columbia County
10,712,Columbia County
1,1645,Coos County
2,1621,Coos County
3,1580,Coos County
4,1551,Coos County
5,1475,Coos County
6,1353,Coos County
7,1198,Coos County
8,1221,Coos County
9,1147,Coos County
10,1070,Coos County
1,386,Crook County
2,384,Crook County
3,361,Crook County
4,388,Crook County
5,389,Crook County
6,373,Crook County
7,342,Crook County
8,357,Crook County
9,376,Crook County
10,353,Crook County
1,870,Curry County
2,870,Curry County
3,900,Curry County
4,961,Curry County
5,909,Curry County
6,835,Curry County
7,746,Curry County
8,759,Curry County
9,746,Curry County
10,692,Curry County
1,3491,Deschutes County
2,3610,Deschutes County
3,3668,Deschutes County
4,3946,Deschutes County
5,4088,Deschutes County
6,3963,Deschutes County
7,3734,Deschutes County
8,3808,Deschutes County
9,3719,Deschutes County
10,3454,Deschutes County
1,2386,Douglas County
2,2371,Douglas County
3,2404,Douglas County
4,2558,Douglas County
5,2475,Douglas County
6,2341,Douglas County
7,2194,Douglas County
8,2271,Douglas County
9,2297,Douglas County
10,2190,Douglas County
1,105,Grant County
2,107,Grant County
3,113,Grant County
4,117,Grant County
5,116,Grant County
6,102,Grant County
7,100,Grant County
8,104,Grant County
9,105,Grant County
10,108,Grant County
1,106,Harney County
2,112,Harney County
3,105,Harney County
4,103,Harney County
5,104,Harney County
6,83,Harney County
7,69,Harney County
8,69,Harney County
9,70,Harney County
10,73,Harney County
1,317,Hood River County
2,321,Hood River County
3,320,Hood River County
4,331,Hood River County
5,330,Hood River County
6,305,Hood River County
7,265,Hood River County
8,277,Hood River County
9,278,Hood River County
10,261,Hood River County
1,7962,Jackson County
2,8045,Jackson County
3,8378,Jackson County
4,9552,Jackson County
5,9472,Jackson County
6,9277,Jackson County
7,8644,Jackson County
8,8953,Jackson County
9,9259,Jackson County
10,8697,Jackson County
1,358,Jefferson County
2,347,Jefferson County
3,366,Jefferson County
4,385,Jefferson County
5,400,Jefferson County
6,393,Jefferson County
7,361,Jefferson County
8,382,Jefferson County
9,396,Jefferson County
10,359,Jefferson County
1,5160,Josephine County
2,5148,Josephine County
3,5456,Josephine County
4,6504,Josephine County
5,6479,Josephine County
6,6420,Josephine County
7,5909,Josephine County
8,6319,Josephine County
9,6686,Josephine County
10,6165,Josephine County
1,1228,Klamath County
2,1235,Klamath County
3,1239,Klamath County
4,1284,Klamath County
5,1260,Klamath County
6,1193,Klamath County
7,1071,Klamath County
8,1123,Klamath County
9,1152,Klamath County
10,1085,Klamath County
1,128,Lake County
2,122,Lake County
3,125,Lake County
4,124,Lake County
5,119,Lake County
6,110,Lake County
7,97,Lake County
8,111,Lake County
9,119,Lake County
10,117,Lake County
1,7577,Lane County
2,7804,Lane County
3,7944,Lane County
4,8382,Lane County
5,8193,Lane County
6,7907,Lane County
7,7207,Lane County
8,7241,Lane County
9,7238,Lane County
10,6697,Lane County
1,1258,Lincoln County
2,1329,Lincoln County
3,1389,Lincoln County
4,1484,Lincoln County
5,1485,Lincoln County
6,1485,Lincoln County
7,1427,Lincoln County
8,1453,Lincoln County
9,1436,Lincoln County
10,1368,Lincoln County
1,2021,Linn County
2,2052,Linn County
3,2077,Linn County
4,2135,Linn County
5,2077,Linn County
6,1938,Linn County
7,1773,Linn County
8,1842,Linn County
9,1818,Linn County
10,1707,Linn County
1,519,Malheur County
2,561,Malheur County
3,630,Malheur County
4,689,Malheur County
5,641,Malheur County
6,582,Malheur County
7,476,Malheur County
8,487,Malheur County
9,472,Malheur County
10,460,Malheur County
1,3860,Marion County
2,3883,Marion County
3,3885,Marion County
